state,x,y
Bizert,10.0 ,357.0
Ariana,63.0 ,340.0
Tunis,84.0 ,329.0
Manouba,39.0 ,325.0
Beja,-11.0 ,306.0
Jandouba,-57.0 ,306.0
Ben Arous,74.0 ,303.0
Nabeul,110.0 ,310.0
Zaghouan,53.0 ,282.0
Siliana,-3.0 ,260.0
Kef,-69.0 ,254.0
Kasserine,-57.0 ,162.0
Kairouan,38.0 ,203.0
Sousse,90.0 ,233.0
Monastir,115.0 ,200.0
Mahdia,116.0 ,175.0
Sfax,97.0 ,119.0
Sidi Bouzid,9.0 ,122.0
Gafs,-51.0 ,73.0
Tozeur,-124.0 ,25.0
Gabes,31.0 ,13.0
Kebili,-72.0 ,-36.0
Medenine,108.0 ,-41.0
Tataouine,45.0 ,-147.0